Lippia triphylla (L'Hér.) Kuntze
Crataegus germanica (L.) Kuntze
Lippia triphylla (L'Hér.) Kuntze
Corylus avellana L.
Ginkgo biloba L.
Tilia platyphyllos Scop.
Buddleja davidii Franch.
Betula pendula Roth
Cotinus coggygria Scop.
Acer campestre L.
Populus alba L.
Artemisia vulgaris L.
Acer platanoides L.
Crataegus monogyna Jacq.
Hedera helix L.
Hedera helix L.
Broussonetia papyrifera (L.) Vent.
Acer campestre L.
Castanea sativa Mill.
Asplenium trichomanes L.
Morus alba L.
Tilia platyphyllos Scop.
Acer saccharinum L.
Acer campestre L.
Quercus cerris L.
Viburnum opulus L.
Acer platanoides L.
Platanus x hispanica Mill. ex Münchh.
Syringa vulgaris L.
Prunus avium (L.) L.
Hedera helix L.
Tilia cordata Mill.
Fraxinus ornus L.
Sorbus torminalis (L.) Crantz
Castanea sativa Mill.
Viburnum opulus L.
Fraxinus excelsior L.
Quercus pubescens Willd.
Ginkgo biloba L.
Fagus sylvatica L.
Castanea sativa Mill.
Populus tremula L.
Platanus x hispanica Mill. ex Münchh.
Quercus pubescens Willd.
Populus tremula L.
Viburnum opulus L.
Ruscus aculeatus L.
Robinia pseudoacacia L.
Ruscus aculeatus L.
Acer campestre L.
Lippia triphylla (L'Hér.) Kuntze
Ruscus aculeatus L.
Hedera helix L.
Fagus sylvatica L.
Crataegus monogyna Jacq.
Acer pseudoplatanus L.
Acer monspessulanum L.
Ruscus aculeatus L.
Populus nigra L.
Hedera helix L.
Cotinus coggygria Scop.
Cotinus coggygria Scop.
Pistacia lentiscus L.
Quercus pubescens Willd.
Syringa vulgaris L.
Castanea sativa Mill.
Prunus avium (L.) L.
Liquidambar styraciflua L.
Betula pendula Roth
Viburnum opulus L.
Fraxinus excelsior L.
Ailanthus altissima (Mill.) Swingle
Ruscus aculeatus L.
Viburnum tinus L.
Geranium rotundifolium L.
Robinia pseudoacacia L.
Cercis siliquastrum L.
Olea europaea L.
Ruscus aculeatus L.
Ailanthus altissima (Mill.) Swingle
Sorbus torminalis (L.) Crantz
Quercus rubra L.
Ailanthus altissima (Mill.) Swingle
Acer platanoides L.
Ruscus aculeatus L.
Populus nigra L.
Ruscus aculeatus L.
Ilex aquifolium L.
Fraxinus excelsior L.
Acer campestre L.
Cercis siliquastrum L.
Carpinus betulus L.
Hedera helix L.
Ruscus aculeatus L.
Celtis australis L.
Hedera helix L.
Taxus baccata L.
Ruscus aculeatus L.
Salix cinerea L.
Ailanthus altissima (Mill.) Swingle
Fraxinus excelsior L.
Ruscus aculeatus L.
Viburnum opulus L.
Prunus mahaleb L.
Betula pendula Roth
Acer negundo L.
Acer pseudoplatanus L.
Fraxinus excelsior L.
Ruscus aculeatus L.
Celtis australis L.
Ruscus aculeatus L.
Viburnum opulus L.
Acer campestre L.
Ginkgo biloba L.
Acer saccharinum L.
Tilia cordata Mill.
Lippia triphylla (L'Hér.) Kuntze
Acer campestre L.
Castanea sativa Mill.
Betula pendula Roth
Cotinus coggygria Scop.
Atriplex prostrata Boucher ex DC.
Acer saccharinum L.
Viburnum opulus L.
Fraxinus excelsior L.
Quercus pubescens Willd.
Ginkgo biloba L.
Carpinus betulus L.
Ginkgo biloba L.
Acer campestre L.
Laurus nobilis L.
Platanus x hispanica Mill. ex Münchh.
Tilia platyphyllos Scop.
Quercus petraea Liebl.
Alnus glutinosa (L.) Gaertn.
Quercus pubescens Willd.
Acer saccharinum L.
Fraxinus angustifolia Vahl
Liquidambar styraciflua L.
Ginkgo biloba L.
Ruscus aculeatus L.
Fraxinus excelsior L.
Taxus baccata L.
Viburnum opulus L.
Fraxinus angustifolia Vahl
Ruscus aculeatus L.
Acer saccharinum L.
Platanus x hispanica Mill. ex Münchh.
Castanea sativa Mill.
Carpinus betulus L.
Fraxinus angustifolia Vahl
Fraxinus angustifolia Vahl
Ficus carica L.
Platanus x hispanica Mill. ex Münchh.
Populus tremula L.
Robinia pseudoacacia L.
Prunus mahaleb L.
Ruscus aculeatus L.
Ruscus aculeatus L.
Lippia triphylla (L'Hér.) Kuntze
Crataegus monogyna Jacq.
Lippia triphylla (L'Hér.) Kuntze
Ruscus aculeatus L.
Ruscus aculeatus L.
Prunus mahaleb L.
Ginkgo biloba L.
Castanea sativa Mill.
Ulmus minor Mill.
Acer campestre L.
Fraxinus excelsior L.
Ulmus minor Mill.
Ginkgo biloba L.
Ruscus aculeatus L.
Celtis australis L.
Laurus nobilis L.
Fraxinus angustifolia Vahl
Syringa vulgaris L.
Ruscus aculeatus L.
Populus alba L.
Liquidambar styraciflua L.
Quercus rubra L.
Corylus avellana L.
Carpinus betulus L.
Ruscus aculeatus L.
Liriodendron tulipifera L.
Viburnum tinus L.
Ruscus aculeatus L.
Quercus pubescens Willd.
Celtis australis L.
Hedera helix L.
Fraxinus angustifolia Vahl
Ulmus minor Mill.
Tilia platyphyllos Scop.
Fraxinus angustifolia Vahl
Prunus avium (L.) L.
Ruscus aculeatus L.
Salix cinerea L.
Acer campestre L.
Tilia cordata Mill.
Acer platanoides L.
Liriodendron tulipifera L.
Acer campestre L.
Populus tremula L.
Acer pseudoplatanus L.
Acer campestre L.
Prunus spinosa L.
Ginkgo biloba L.
Fraxinus excelsior L.
Viburnum opulus L.
Ruscus aculeatus L.
Castanea sativa Mill.
Laurus nobilis L.
Lippia triphylla (L'Hér.) Kuntze
Betula pendula Roth
Hedera helix L.
Castanea sativa Mill.
Betula pendula Roth
Alnus glutinosa (L.) Gaertn.
Quercus cerris L.
Viburnum tinus L.
Acer campestre L.
